Nombres,Fecha_de_lanzamiento,Clasificaciones,Meta_scores,Puntuacion_de_usuarios
The Crash Reel,"July 5, 2013", | Not Rated,79,8.3
Hitchcock/Truffaut,"December 2, 2015", | Not Rated,79,8.0
Science Fair,"September 14, 2018", | PG,79,7.8
The Order of Myths,"July 25, 2008", | Not Rated,79,6.0
Hotel by the River,"February 15, 2019", | Not Rated,79,7.0
Moving Midway,"September 12, 2008",N/A,79,tbd
Flags of Our Fathers,"October 20, 2006", | R,79,7.0
Reprise,"May 16, 2008", | R,79,6.9
Bright Leaves,"August 25, 2004",N/A,79,6.3
Feels Good Man,"September 4, 2020", | Not Rated,79,7.0
Guillermo Del Toro’s Pinocchio,"November 9, 2022", | Not Rated,79,8.1
What Time Is It Over There?,"January 11, 2002", | Not Rated,79,7.0
The People vs. Larry Flynt,"December 25, 1996", | R,79,8.4
The Thin Blue Line,"September 1, 1988",N/A,79,8.7
La Llorona,"August 6, 2020", | Not Rated,79,7.5
Night Comes On,"August 3, 2018", | Not Rated,79,6.4
Look at Me,"April 1, 2005", | PG-13,79,7.2
Clouds of Sils Maria,"April 10, 2015", | R,79,7.1
Judy Blume Forever,"April 21, 2023", | Not Rated,79,tbd
Fallen Leaves,TBA, | Not Rated,79,tbd
Summer Palace,"January 18, 2008",N/A,79,6.3
Wings of Desire,"May 6, 1988", | PG-13,79,7.8
The American Friend,"September 24, 1977", | Not Rated,79,7.4
The Fighter,"December 10, 2010", | R,79,8.1
Jodorowsky's Dune,"March 21, 2014", | Not Rated,79,8.2
The Five Obstructions,"May 26, 2004", | Unrated,79,6.9
Beasts of No Nation,"October 16, 2015", | Not Rated,79,8.2
Apollo 10½: A Space Age Childhood,"March 25, 2022", | PG-13,79,7.1
